;Agence;Nom Tiers Agence;Solde;Solde confirmé ?;Date Solde
198;SATAR MOISSAC;PRIMEVER LIMOUSIN DONZENAC;2349;Non;2023-03-31
199;SATAR AGEN LOGISTIQUE;PRIMEVER LIMOUSIN DONZENAC;35;Non;2023-01-31
200;TMF ESTILLAC;PRIMEVER LIMOUSIN DONZENAC;0;Oui;2023-09-30
201;GUIDEZ MONCHY LE PREUX;PTSO MOISSAC;0;Oui;2023-11-30
202;PRA FEILLENS;PTSO MOISSAC;44;Non;2023-11-30
203;PRA LYON;PTSO MOISSAC;11;Non;2023-11-30
204;PRIMAVER PERPIGNAN;PTSO MOISSAC;0;Oui;2022-12-31
205;PATL ALLONNES;PTSO MOISSAC;0;Oui;2023-10-31
206;PATL REZE;PTSO MOISSAC;4;Non;2023-01-31
207;PRIMEVER EUROPE AGEN;PTSO MOISSAC;-23;Non;2023-01-31
208;PRIMEVER IDF RUNGIS (GST);PTSO MOISSAC;29;Non;2023-10-31
209;PRIMEVER LIMOUSIN DONZENAC;PTSO MOISSAC;4170;Non;2022-10-31
210;PRIMEVER ORLEANS;PTSO MOISSAC;0;Oui;2023-12-31
211;PLM MONTPELLIER;PTSO MOISSAC;0;Oui;2023-09-30
212;PLM PLAN D'ORGON;PTSO MOISSAC;0;Oui;2023-06-30
213;PRIMEVER PROVENCE CHATEAURENARD;PTSO MOISSAC;0;Oui;2023-10-31
214;PTI AGEN;PTSO MOISSAC;-102;Non;2023-09-30
215;PRIMEVER TROYES;PTSO MOISSAC;67;Non;2022-12-31
216;SATAR AGEN PRIMEUR;PTSO MOISSAC;0;Oui;2023-10-31
217;SATAR SAMAZAN;PTSO MOISSAC;-656;Non;2023-09-30
218;SATAR BORDEAUX;PTSO MOISSAC;3;Non;2023-12-31
219;SATAR MOISSAC;PTSO MOISSAC;290;Non;2023-03-31
220;SATAR AGEN LOGISTIQUE;PTSO MOISSAC;660;Non;2023-01-31
221;GUIDEZ LOG MONCHY ;SATAR AGEN LOGISTIQUE;0;Oui;2023-10-31
222;PRA FEILLENS;SATAR AGEN LOGISTIQUE;0;Oui;2023-03-31
223;PATL ALLONNES;SATAR AGEN LOGISTIQUE;0;Oui;2024-03-31
224;PATL REZE;SATAR AGEN LOGISTIQUE;0;Oui;2024-03-31
225;PRIMEVER IDF RUNGIS (GST);SATAR AGEN LOGISTIQUE;0;Oui;2024-03-31
226;PRIMEVER LIMOUSIN DONZENAC;SATAR AGEN LOGISTIQUE;0;Oui;2024-03-31
227;PRIMEVER NORMANDIE ST AMAND;SATAR AGEN LOGISTIQUE;0;Oui;2024-03-31
228;PRIMEVER ORLEANS;SATAR AGEN LOGISTIQUE;0;Oui;2023-11-30
229;PRIMEVER PERPIGNAN 1;SATAR AGEN LOGISTIQUE;2075;Non;2023-03-31
230;PRIMEVER PERPIGNAN 2;SATAR AGEN LOGISTIQUE;0;Oui;2024-03-31
231;PRIMEVER PERPIGNAN 3;SATAR AGEN LOGISTIQUE;0;Oui;2023-10-31
232;PRIMEVER PROVENCE CHATEAURENARD;SATAR AGEN LOGISTIQUE;0;Oui;2023-10-31
233;PTI AGEN;SATAR AGEN LOGISTIQUE;0;Oui;2024-03-31
234;PTI AGEN;SATAR AGEN LOGISTIQUE;0;Oui;2024-03-31
235;PRIMEVER VDR CHATEAUNEUF SUR ISERE;SATAR AGEN LOGISTIQUE;0;Oui;2023-10-31
236;SATAR AGEN PRIMEUR;SATAR AGEN LOGISTIQUE;0;Oui;2024-03-31
237;SATAR SAMAZAN;SATAR AGEN LOGISTIQUE;15173;Non;2023-11-30
238;SATAR MOISSAC;SATAR AGEN LOGISTIQUE;13963;Non;2023-10-31
239;TMF BEZIERS;SATAR AGEN LOGISTIQUE;0;Oui;2024-03-31
240;GUIDEZ MONCHY LE PREUX;SATAR AGEN PRIMEUR;0;Oui;2024-01-31
241;PATL ALLONNES;SATAR AGEN PRIMEUR;-2;Oui;2024-03-31
242;PRIMEVER EUROPE AGEN;SATAR AGEN PRIMEUR;0;Oui;2024-01-31
243;PRIMEVER LIMOUSIN DONZENAC;SATAR AGEN PRIMEUR;10;Oui;2023-08-31
244;PRIMEVER NORMANDIE ST AMAND;SATAR AGEN PRIMEUR;-150;Oui;2024-03-31
245;PRIMEVER PERPIGNAN 1;SATAR AGEN PRIMEUR;-15;Oui;2024-03-31
246;PLM PLAN D'ORGON;SATAR AGEN PRIMEUR;236;Oui;2023-08-31
247;PRIMEVER PROVENCE CHATEAURENARD;SATAR AGEN PRIMEUR;-358;Oui;2024-03-31
248;PRIMEVER TOULOUSE;SATAR AGEN PRIMEUR;80;Oui;2023-05-31
249;PTI AGEN;SATAR AGEN PRIMEUR;369;Oui;2024-03-31
250;PTSO MOISSAC;SATAR AGEN PRIMEUR;5;Oui;2023-02-28
251;PRIMEVER VDR CHATEAUNEUF SUR ISERE;SATAR AGEN PRIMEUR;-3;Oui;2023-10-31
252;SATAR AGEN SIEGE;SATAR AGEN PRIMEUR;0;Oui;2023-08-31
253;SATAR SAMAZAN;SATAR AGEN PRIMEUR;521;Oui;2024-03-31
254;SATAR BORDEAUX;SATAR AGEN PRIMEUR;7;Oui;2023-08-31
255;SATAR MOISSAC;SATAR AGEN PRIMEUR;-75;Oui;2024-03-31
256;SATAR AGEN LOGISTIQUE;SATAR AGEN PRIMEUR;165;Oui;2024-03-31
257;TESSIER PONT SAINT MARTIN;SATAR AGEN PRIMEUR;0;Oui;2024-01-31
258;TMF BEZIERS;SATAR AGEN PRIMEUR;0;Oui;2023-08-31
259;TMF TOURS;SATAR AGEN PRIMEUR;0;Oui;2023-05-31
260;TMF ESTILLAC;SATAR AGEN PRIMEUR;-1;Oui;2024-03-31
261;SATAR AGEN PRIMEUR;SATAR AGEN SIEGE;0;Oui;2023-12-31
262;GUIDEZ MONCHY LE PREUX;SATAR BORDEAUX;29;Non;2024-01-31
263;PRIMAVER (ATD);SATAR BORDEAUX;-17;Oui;2023-04-30
264;PRIMAVER PERPIGNAN;SATAR BORDEAUX;0;Oui;2024-02-29
265;PATL ALLONNES;SATAR BORDEAUX;-44;Oui;2024-02-29
266;PATL REZE;SATAR BORDEAUX;-28;Non;2024-02-29
267;PRIMEVER IDF RUNGIS (GST);SATAR BORDEAUX;-19;Non;2024-02-29
268;PRIMEVER LIMOUSIN DONZENAC;SATAR BORDEAUX;-602;Non;2023-04-30
269;PRIMEVER NORMANDIE ST AMAND;SATAR BORDEAUX;-14;Non;2024-02-29
270;PRIMEVER PERPIGNAN 1;SATAR BORDEAUX;-17;Non;2023-10-31
271;PRIMEVER PROVENCE CHATEAURENARD;SATAR BORDEAUX;-37;Non;2023-04-30
272;PRIMEVER TOURS;SATAR BORDEAUX;0;Oui;2023-12-31
273;PTI AGEN;SATAR BORDEAUX;-5;Non;2023-05-31
274;PTSO MOISSAC;SATAR BORDEAUX;0;Oui;2024-01-31
275;PRIMEVER VDR CHATEAUNEUF SUR ISERE;SATAR BORDEAUX;0;Oui;2023-06-30
276;SATAR AGEN PRIMEUR;SATAR BORDEAUX;0;Oui;2023-08-31
277;SATAR SAMAZAN;SATAR BORDEAUX;1638;Non;2024-02-29
278;SATAR MOISSAC;SATAR BORDEAUX;-17;Non;2024-02-29
279;TMF BEZIERS;SATAR BORDEAUX;-54;Non;2024-01-31
280;TMF TOURS;SATAR BORDEAUX;0;Oui;2023-07-31
281;TMF ESTILLAC;SATAR BORDEAUX;0;Oui;2023-03-31
282;TRAFIBA ST GEOURS DE MAREMME;SATAR BORDEAUX;0;Oui;2024-01-31
283;GUIDEZ MONCHY LE PREUX;SATAR MOISSAC;-306;Non;2024-02-29
284;GUIDEZ LOG MONCHY ;SATAR MOISSAC;0;Oui;2022-12-31
285;PRA LYON;SATAR MOISSAC;0;Oui;2023-12-31
286;PRIMAVER PERPIGNAN;SATAR MOISSAC;-337;Non;2022-12-31
287;PATL ALLONNES;SATAR MOISSAC;-21;Non;2023-09-30
288;PATL REZE;SATAR MOISSAC;-139;Non;2023-12-31
289;PRIMEVER EUROPE AGEN;SATAR MOISSAC;486;Non;2022-12-31
290;FTL LE CRES;SATAR MOISSAC;754;Oui;2024-03-31
291;PRIMEVER IDF LOGISTIQUE RUNGIS;SATAR MOISSAC;0;Oui;2022-12-31
292;PRIMEVER IDF LOGISTIQUE RUNGIS;SATAR MOISSAC;24;Non;2023-12-31
293;PRIMEVER IDF RUNGIS (GST);SATAR MOISSAC;480;Non;2023-12-31
294;PRIMEVER LIMOUSIN DONZENAC;SATAR MOISSAC;-383;Non;2023-03-31
295;PRIMEVER ORLEANS;SATAR MOISSAC;36;Non;2023-12-31
296;PRIMEVER PERPIGNAN 1;SATAR MOISSAC;50;Non;2023-11-30
297;PRIMEVER PERPIGNAN 3;SATAR MOISSAC;0;Oui;2023-03-31
298;PLM MONTPELLIER;SATAR MOISSAC;0;Oui;2024-03-31
299;PLM NICE;SATAR MOISSAC;16;Oui;2023-09-30
300;PLM PLAN D'ORGON;SATAR MOISSAC;637;Oui;2024-03-31
301;PRIMEVER PROVENCE CHATEAURENARD;SATAR MOISSAC;293;Oui;2024-03-31
302;PRIMEVER TOULOUSE;SATAR MOISSAC;930;Non;2023-10-31
303;PRIMEVER TOURS;SATAR MOISSAC;0;Oui;2022-12-31
304;PTI AGEN;SATAR MOISSAC;1336;Non;2023-12-31
305;PTI AGEN;SATAR MOISSAC;0;Non;2024-01-31
306;PTSO MOISSAC;SATAR MOISSAC;219;Non;2023-03-31
307;PRIMEVER VDR CHATEAUNEUF SUR ISERE;SATAR MOISSAC;-31;Oui;2023-11-30
